y1obs,   3.000000E+00,   4.004136E+00,   4.841827E+00,   5.549357E+00,   6.154083E+00,   6.676019E+00,   7.129206E+00,   7.522934E+00,   7.862810E+00,   8.151722E+00,   8.390679E+00,   8.579556E+00,   8.717736E+00,   8.804651E+00,   8.840226E+00,   8.825218E+00,   8.761464E+00,   8.652018E+00,   8.501212E+00,   8.314611E+00,   8.098903E+00,   7.861714E+00,   7.611358E+00,   7.356562E+00,   7.106138E+00,   6.868663E+00,   6.652147E+00,   6.463723E+00,   6.309369E+00,   6.193673E+00,   6.119649E+00,   6.088623E+00,   6.100178E+00,   6.152178E+00,   6.240858E+00,   6.360980E+00,   6.506049E+00,   6.668584E+00,   6.840429E+00,   7.013086E+00,   7.178069E+00,   7.327252E+00,   7.453208E+00,   7.549513E+00,   7.611009E+00,   7.634021E+00,   7.616503E+00,   7.558123E+00,   7.460277E+00,   7.326024E+00
y2obs,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00
w1,   1.000000E+00,   1.244088E+01,   9.783702E+00,   7.271074E+00,   5.504281E+00,   4.349922E+00,   3.596364E+00,   3.094265E+00,   2.743643E+00,   2.465013E+00,   2.234974E+00,   2.024671E+00,   1.820077E+00,   1.610206E+00,   1.398942E+00,   1.184383E+00,   9.712292E-01,   7.616312E-01,   5.619144E-01,   3.777636E-01,   2.097943E-01,   5.010523E-02,   8.540236E-02,   1.662590E-02,   2.611536E-05,   2.732310E-03,   6.314482E-03,   7.629724E-02,   2.569159E-01,   4.072336E-01,   5.849025E-01,   7.715204E-01,   9.686522E-01,   1.161433E+00,   1.342649E+00,   1.505608E+00,   1.644206E+00,   1.753575E+00,   1.828544E+00,   1.860555E+00,   1.848563E+00,   1.799483E+00,   1.708506E+00,   1.576158E+00,   1.410586E+00,   1.207059E+00,   9.659889E-01,   6.884289E-01,   3.756338E-01,   2.964850E-02
w2,   1.000000E+00,  -1.199055E+01,  -5.264551E+00,  -2.719282E+00,  -1.599492E+00,  -1.053450E+00,  -7.738452E-01,  -6.309039E-01,  -5.690587E-01,  -5.426564E-01,  -5.384637E-01,  -5.447727E-01,  -5.596125E-01,  -5.721147E-01,  -5.858263E-01,  -5.969280E-01,  -6.040931E-01,  -6.079294E-01,  -6.058134E-01,  -5.992278E-01,  -5.858292E-01,  -5.732484E-01,  -5.918169E-01,  -5.754384E-01,  -5.569138E-01,  -5.337569E-01,  -4.939171E-01,  -4.609620E-01,  -4.401959E-01,  -4.323468E-01,  -4.182070E-01,  -4.087185E-01,  -3.990840E-01,  -3.940846E-01,  -3.926949E-01,  -3.945385E-01,  -3.987368E-01,  -4.056103E-01,  -4.138959E-01,  -4.207375E-01,  -4.335237E-01,  -4.434653E-01,  -4.470065E-01,  -4.476842E-01,  -4.372329E-01,  -4.178117E-01,  -3.797853E-01,  -3.109500E-01,  -1.898654E-01,  -1.296148E-02
j, 0.00          ,   4.949416E+00,   7.016952E+00,   8.029736E+00,   8.589844E+00,   8.940154E+00,   9.185223E+00,   9.373228E+00,   9.527748E+00,   9.659399E+00,   9.774494E+00,   9.876047E+00,   9.965733E+00,   1.004413E+01,   1.011208E+01,   1.017022E+01,   1.021931E+01,   1.026024E+01,   1.029397E+01,   1.032157E+01,   1.034397E+01,   1.036209E+01,   1.038077E+01,   1.039690E+01,   1.041174E+01,   1.042570E+01,   1.043846E+01,   1.045167E+01,   1.046860E+01,   1.048937E+01,   1.051516E+01,   1.054709E+01,   1.058633E+01,   1.063368E+01,   1.068956E+01,   1.075396E+01,   1.082635E+01,   1.090577E+01,   1.099074E+01,   1.107907E+01,   1.116865E+01,   1.125754E+01,   1.134352E+01,   1.142484E+01,   1.150027E+01,   1.156906E+01,   1.163121E+01,   1.168799E+01,   1.174289E+01,   1.180391E+01
x1,   1.000000E+00,   3.475250E+00,   5.328491E+00,   6.612342E+00,   7.495453E+00,   8.113795E+00,   8.556553E+00,   8.880146E+00,   9.119177E+00,   9.291301E+00,   9.408882E+00,   9.478129E+00,   9.502243E+00,   9.482133E+00,   9.419422E+00,   9.315281E+00,   9.171748E+00,   8.991188E+00,   8.777108E+00,   8.533978E+00,   8.266209E+00,   7.976480E+00,   7.703961E+00,   7.427644E+00,   7.157974E+00,   6.898537E+00,   6.649166E+00,   6.422544E+00,   6.239529E+00,   6.092521E+00,   5.985520E+00,   5.918758E+00,   5.892765E+00,   5.905133E+00,   5.952130E+00,   6.028858E+00,   6.129415E+00,   6.247170E+00,   6.374740E+00,   6.503349E+00,   6.624361E+00,   6.730830E+00,   6.815140E+00,   6.870075E+00,   6.890298E+00,   6.869758E+00,   6.802720E+00,   6.683890E+00,   6.508440E+00,   6.272151E+00
x2,   2.000000E+00,  -3.613768E-01,  -1.274990E+00,  -1.628529E+00,  -1.731321E+00,  -1.710891E+00,  -1.627756E+00,  -1.513509E+00,  -1.386928E+00,  -1.256760E+00,  -1.128568E+00,  -1.005283E+00,  -8.892697E-01,  -7.806516E-01,  -6.802111E-01,  -5.879283E-01,  -5.034838E-01,  -4.266433E-01,  -3.565990E-01,  -2.927775E-01,  -2.340820E-01,  -1.809024E-01,  -1.387926E-01,  -1.005408E-01,  -6.544433E-02,  -3.227065E-02,   2.524174E-03,   3.797272E-02,   7.251437E-02,   1.043580E-01,   1.356273E-01,   1.662218E-01,   1.969959E-01,   2.277860E-01,   2.585626E-01,   2.892754E-01,   3.199321E-01,   3.503479E-01,   3.804476E-01,   4.105472E-01,   4.393321E-01,   4.671264E-01,   4.947896E-01,   5.223122E-01,   5.512014E-01,   5.823629E-01,   6.184441E-01,   6.642774E-01,   7.286153E-01,   8.204841E-01
x3,   4.000000E+00,   3.828966E+00,   3.628811E+00,   3.422640E+00,   3.220524E+00,   3.027135E+00,   2.844591E+00,   2.673685E+00,   2.514445E+00,   2.366555E+00,   2.229491E+00,   2.102637E+00,   1.985307E+00,   1.876838E+00,   1.776562E+00,   1.683837E+00,   1.598060E+00,   1.518659E+00,   1.445120E+00,   1.376967E+00,   1.313789E+00,   1.255173E+00,   1.200508E+00,   1.149487E+00,   1.101842E+00,   1.057367E+00,   1.016001E+00,   9.776467E-01,   9.421513E-01,   9.092967E-01,   8.789567E-01,   8.510063E-01,   8.253589E-01,   8.019246E-01,   7.806163E-01,   7.613480E-01,   7.440376E-01,   7.285988E-01,   7.149458E-01,   7.030086E-01,   6.926684E-01,   6.838236E-01,   6.764105E-01,   6.703674E-01,   6.656942E-01,   6.624263E-01,   6.607015E-01,   6.608418E-01,   6.634996E-01,   6.696558E-01
y1,   3.000000E+00,   3.113873E+00,   4.053502E+00,   4.983813E+00,   5.764132E+00,   6.402904E+00,   6.928797E+00,   7.366637E+00,   7.732249E+00,   8.034541E+00,   8.280314E+00,   8.472845E+00,   8.612973E+00,   8.701482E+00,   8.739211E+00,   8.727353E+00,   8.668264E+00,   8.564545E+00,   8.420509E+00,   8.241200E+00,   8.032127E+00,   7.795577E+00,   7.565169E+00,   7.327103E+00,   7.092530E+00,   6.866267E+00,   6.651690E+00,   6.460517E+00,   6.312044E+00,   6.196879E+00,   6.121147E+00,   6.084980E+00,   6.089761E+00,   6.132919E+00,   6.210692E+00,   6.318134E+00,   6.449347E+00,   6.597518E+00,   6.755187E+00,   6.913896E+00,   7.063693E+00,   7.197957E+00,   7.309930E+00,   7.392387E+00,   7.441500E+00,   7.452120E+00,   7.421164E+00,   7.348168E+00,   7.237056E+00,   7.092635E+00
y2,   6.000000E+00,   3.467589E+00,   2.353821E+00,   1.794111E+00,   1.489203E+00,   1.316244E+00,   1.216834E+00,   1.160176E+00,   1.127517E+00,   1.109795E+00,   1.100923E+00,   1.097354E+00,   1.096038E+00,   1.096187E+00,   1.096351E+00,   1.095909E+00,   1.094576E+00,   1.092016E+00,   1.088521E+00,   1.084190E+00,   1.079707E+00,   1.074271E+00,   1.061715E+00,   1.048946E+00,   1.036398E+00,   1.025097E+00,   1.018525E+00,   1.015619E+00,   1.014666E+00,   1.013655E+00,   1.014584E+00,   1.017228E+00,   1.022355E+00,   1.029711E+00,   1.039179E+00,   1.050623E+00,   1.063970E+00,   1.078947E+00,   1.095393E+00,   1.113556E+00,   1.132000E+00,   1.150950E+00,   1.171200E+00,   1.192680E+00,   1.216896E+00,   1.244789E+00,   1.279146E+00,   1.325119E+00,   1.392115E+00,   1.490140E+00
